,generic,laundering
site information,0.04977375565610862,0.0024390243902439016
site international,0.04977375565610862,0.0024390243902439016
skip,0.4457013574660635,0.3073170731707316
skip site,0.04977375565610862,0.0024390243902439016
social security,0.07918552036199096,0.007317073170731707
solutions,0.11085972850678734,0.01951219512195121
sometimes,0.08597285067873305,0.02682926829268292
special,0.14479638009049772,0.30243902439024384
sport,0.03846153846153848,0.23658536585365844
sports entertainment,0.009049773755656113,0.060975609756097525
start,0.3800904977375566,0.2146341463414634
stay,0.2873303167420815,0.1780487804878048
steal,0.024886877828054307,0.13658536585365855
still,0.31900452488687797,0.16829268292682925
storm,0.2081447963800906,0.07317073170731705
story site,0.04977375565610862,0.0024390243902439016
studio choices,0.04977375565610862,0.0024390243902439016
supported,0.04751131221719458,0.0024390243902439016
supported continue,0.04751131221719458,0.0024390243902439016
supreme,0.027149321266968333,0.10731707317073165
supreme court,0.027149321266968333,0.09756097560975606
suspect,0.03167420814479638,0.1390243902439024
suspend,0.03619909502262444,0.11463414634146335
suspicious,0.004524886877828056,0.060975609756097525
symbols,0.09502262443438918,0.007317073170731707
take control,0.07918552036199096,0.0024390243902439016
tech media,0.042986425339366516,0.007317073170731707
terms conditions,0.0995475113122172,0.21951219512195114
terms privacy,0.29411764705882354,0.15609756097560964
terms sale,0.058823529411764726,0.007317073170731707
terms service,0.2692307692307694,0.173170731707317
theft,0.015837104072398196,0.09512195121951215
think,0.24886877828054313,0.11951219512195116
thunderstorm,0.07918552036199096,0.007317073170731707
times company,0.04977375565610862,0.0024390243902439016
times sections,0.04977375565610862,0.0024390243902439016
tools,0.16289592760181,0.04878048780487802
toward,0.09276018099547516,0.021951219512195117
tracker,0.165158371040724,0.05853658536585365
traditional,0.09049773755656111,0.021951219512195117
trending,0.09502262443438918,0.21219512195121942
trial,0.04524886877828055,0.23902439024390246
trillion,0.10180995475113123,0.01219512195121951
type,0.23303167420814488,0.06585365853658534
typically,0.0995475113122172,0.014634146341463402
upon,0.02941176470588236,0.10487804878048776
venture,0.10407239819004528,0.021951219512195117
victim,0.04977375565610862,0.2146341463414634
video photos,0.10407239819004528,0.009756097560975608
violation,0.015837104072398196,0.09756097560975606
voting,0.06108597285067875,0.024390243902439022
water,0.17647058823529416,0.07073170731707315
way,0.1266968325791856,0.04390243902439022
ways,0.10633484162895929,0.009756097560975608
weather,0.30316742081447967,0.23170731707317063
weather forecast,0.12443438914027156,0.01951219512195121
website,0.2126696832579186,0.31463414634146325
whether,0.2126696832579186,0.11219512195121947
wind,0.14479638009049772,0.02682926829268292
wire fraud,0.002262443438914028,0.07560975609756095
withdrawal,0.11085972850678734,0.01951219512195121
world news,0.01131221719457014,0.08536585365853654
year,0.5656108597285067,0.6853658536585361
year prison,0.004524886877828056,0.16585365853658535
year sentence,0.004524886877828056,0.10731707317073165
yield,0.165158371040724,0.01219512195121951
